Task_ID,Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count
T63,81,5,4,39712.25,10,Low,0.83,0.43,2
T64,36,16,6,24186.13,24,Low,0.35,0.68,2
T65,50,6,2,22735.84,28,Low,0.25,0.46,3
T66,4,8,7,96026.42,5,Low,1.0,0.79,1
T67,2,18,3,62013.75,5,Medium,0.22,0.86,4
T68,6,12,3,56130.97,12,High,0.87,0.37,0
T69,54,15,2,42161.74,10,Low,0.49,0.55,4
T70,4,9,8,43465.49,13,Medium,0.87,0.18,0
T71,54,13,6,54549.6,1,Medium,0.64,0.26,4
T72,63,15,1,69946.55,7,Low,0.92,0.43,2
T73,18,10,1,70512.46,2,Medium,0.94,0.26,1
T74,44,16,7,17997.7,22,Low,0.21,0.8,2
T75,34,7,8,50511.16,20,Medium,0.26,0.23,1
T76,74,17,5,41783.85,2,Low,0.4,0.46,3
T77,62,7,5,87182.17,0,Medium,0.74,0.58,0
T78,14,14,4,63510.47,23,Medium,0.91,0.65,0
T79,48,15,6,53717.9,18,Low,0.57,0.41,3
T80,15,7,6,12424.07,17,Low,0.69,0.8,4
T81,72,9,3,60958.15,16,High,0.35,0.55,3
T82,78,19,9,12603.19,19,Low,0.84,0.45,3
T83,87,16,7,34383.45,28,Medium,0.97,0.15,1
T84,62,8,1,15141.35,23,High,0.41,0.47,3
T85,40,18,7,69515.29,12,Medium,0.6,0.76,0
T86,85,18,5,21418.96,2,Medium,0.27,0.59,2
T87,80,7,5,39794.08,29,Medium,0.65,0.77,1
T88,82,3,2,89671.8,0,High,0.6,0.5,1
T89,53,18,4,21227.32,3,Low,0.32,0.19,4
T90,24,10,6,51272.7,24,Low,0.55,0.11,2
T91,26,7,7,42507.89,12,Low,0.47,0.34,1
T92,89,17,5,2794.28,16,High,0.62,0.66,3
T93,60,14,9,79483.05,27,Medium,0.67,0.73,1
T94,41,3,3,7835.54,29,Low,0.21,0.34,1
T95,29,12,1,47951.25,10,High,0.81,0.5,1
T96,15,13,4,56507.15,1,Low,0.77,0.44,4
T97,45,2,9,63214.22,24,Low,0.49,0.43,1
T98,65,3,4,69174.53,15,Medium,0.24,0.29,1
T99,89,5,2,26073.97,1,Low,0.8,0.21,4
T100,71,11,5,1987.9,28,High,0.96,0.26,2
T101,9,8,3,72620.92,18,Low,0.39,0.14,0
T102,88,12,9,54030.0,22,High,0.46,0.26,4
T103,1,7,4,83775.65,18,Medium,0.35,0.11,4
T104,8,15,6,82317.45,24,Low,0.66,0.6,1
T105,88,17,2,84489.29,15,High,0.32,0.35,1
T106,63,4,6,49024.37,21,Medium,0.48,0.88,0
T107,11,13,3,34029.21,18,Low,0.76,0.25,1
T108,81,18,9,79364.26,8,Low,0.65,0.38,3
T109,8,1,2,45678.12,0,High,0.51,0.39,1
T110,35,16,9,19160.78,9,Low,0.54,0.11,1
T111,35,13,5,85642.43,18,Low,0.65,0.77,3
T112,33,10,8,88373.43,0,Low,0.2,0.13,0
T113,5,12,2,47164.67,1,Low,0.26,0.85,3
T114,41,2,6,8494.27,15,Medium,0.91,0.81,4
T115,28,3,3,39394.78,11,Low,0.26,0.53,3
T116,7,10,5,80550.23,7,Low,0.77,0.53,2
T117,73,2,8,90275.63,22,Low,0.94,0.62,4
T118,72,13,1,21143.8,17,Low,0.42,0.41,1
T119,12,13,5,7630.39,1,High,0.5,0.62,4
T120,34,18,3,87857.69,24,Low,0.66,0.14,0
T121,33,3,4,39551.09,28,High,0.91,0.14,0
T122,48,7,2,54634.34,12,Low,0.95,0.47,3
T123,23,14,9,96838.52,5,Low,0.79,0.54,4
T124,62,17,3,7589.91,20,High,0.27,0.81,1
T125,88,12,2,65183.48,25,Low,0.74,0.18,0
T126,37,16,9,8336.44,5,Medium,0.53,0.76,1
T127,44,12,7,38171.42,8,High,0.58,0.27,2
T128,86,15,6,80577.64,15,Low,0.24,0.42,0
T129,35,10,1,43913.75,10,Low,0.35,0.35,3
T130,65,7,5,99721.05,6,Medium,0.83,0.42,2
T131,47,5,3,56346.87,9,Low,0.56,0.22,4
T132,78,1,1,32795.05,9,Low,0.44,0.5,1
T133,3,17,4,22791.02,29,Low,0.51,0.74,0
T134,1,3,2,35701.53,24,Low,0.88,0.45,2
T135,5,13,2,37880.79,19,Medium,0.8,0.49,2
T136,14,14,3,7802.65,17,Low,0.42,0.78,0
T137,27,18,8,37587.85,27,Low,0.29,0.66,4
T138,9,4,8,46959.61,23,Medium,0.4,0.49,4
T139,79,18,7,72551.04,19,Low,0.94,0.31,3
T140,15,5,6,66016.22,28,Low,0.67,0.81,4
T141,42,16,9,71167.8,8,Medium,0.63,0.56,3
T142,77,1,4,1828.0,14,Low,0.68,0.28,2
T143,51,14,1,22549.07,3,Medium,0.49,0.32,0
T144,63,15,8,66506.74,7,High,0.85,0.74,4
T145,52,9,7,48914.95,8,Low,0.62,0.14,3
T146,4,15,7,1526.03,12,Medium,0.29,0.89,2
T147,23,17,3,80644.97,8,Low,0.3,0.2,4
T148,15,4,4,77508.15,25,Low,0.63,0.74,1
T149,43,12,9,55293.5,3,High,0.95,0.42,2
T150,29,5,6,7579.87,16,High,0.45,0.49,4
T151,36,5,5,76884.99,15,Low,0.9,0.8,2
T152,13,11,3,58787.65,14,Medium,0.81,0.43,0
T153,32,6,9,78414.04,2,High,0.4,0.53,0
T154,71,7,5,75422.95,24,High,0.23,0.14,0
T155,59,14,5,80497.21,19,Medium,0.28,0.1,1
T156,86,11,4,52282.8,4,Low,0.78,0.3,0
T157,28,13,4,14892.13,22,Low,0.36,0.64,1
T158,66,2,1,67444.59,4,High,0.5,0.2,0
T159,42,7,7,62426.9,19,Low,0.6,0.19,2
T160,45,4,9,74483.07,14,Medium,0.78,0.43,4
T161,62,8,3,17818.22,17,Low,0.29,0.62,4
T162,57,19,2,20302.54,14,Low,0.53,0.67,0
T163,6,13,3,89150.54,1,Low,0.59,0.24,4
T164,28,14,1,75247.8,28,High,0.63,0.16,0
T165,28,10,6,90914.62,12,Low,0.85,0.85,0
T166,44,11,7,76112.82,3,Medium,0.34,0.31,3
T167,84,2,2,60118.38,9,Low,0.85,0.78,3
T168,30,9,8,65759.14,12,Low,0.75,0.79,3
T169,62,17,6,89023.66,9,Low,0.64,0.72,1
T170,75,3,4,58301.87,28,Medium,0.76,0.24,3
T171,89,6,5,63606.74,8,Low,0.53,0.76,0
T172,62,5,8,16491.19,7,Low,0.31,0.72,2
T173,1,5,3,47918.2,2,Low,0.73,0.58,3
T174,27,15,3,71923.31,15,Low,0.62,0.37,3
T175,62,17,4,27823.33,13,High,0.71,0.31,2
T176,77,9,1,21023.16,8,High,0.47,0.2,0
T177,3,3,9,32068.85,29,Low,0.93,0.51,1
T178,70,17,8,24908.56,20,Medium,0.67,0.57,3
T179,72,10,8,22276.35,10,High,0.27,0.39,2
T180,27,3,6,43060.23,2,Low,0.56,0.48,0
T181,9,18,7,90876.01,4,High,0.81,0.39,4
T182,62,18,6,51198.91,28,High,0.84,0.61,1
T183,37,17,9,19604.12,9,Low,0.6,0.82,2
T184,51,3,3,8620.2,12,Low,0.92,0.23,2
T185,44,3,3,69919.46,3,High,0.41,0.41,2
T186,24,6,3,38897.08,23,Medium,0.53,0.21,3
T187,79,13,3,82361.26,12,Low,0.92,0.6,4
T188,59,15,9,66291.57,11,Low,0.92,0.68,1
T189,32,9,4,79827.9,4,Low,0.75,0.85,0
T190,88,4,7,27922.66,9,Medium,0.89,0.32,0
T191,52,14,9,69543.53,27,Medium,0.27,0.86,4
T192,62,5,7,27142.14,23,High,0.89,0.15,2
T193,58,2,9,93967.78,8,Low,0.46,0.58,2
T194,52,11,3,64001.05,19,Medium,0.34,0.15,2
T195,12,9,4,33126.67,6,Medium,0.39,0.82,2
T196,39,3,8,27681.67,1,Low,0.53,0.52,2
T197,2,9,6,19901.73,21,Low,0.4,0.64,4
T198,3,3,5,69769.45,23,High,0.46,0.77,3
T199,56,2,4,22652.85,27,High,0.31,0.22,1
T200,81,12,8,59935.02,22,Low,0.44,0.13,2
T201,59,10,1,27198.87,6,Medium,0.66,0.8,3
T202,2,9,9,66534.93,7,Low,0.55,0.35,0
T203,2,15,1,81679.03,6,Medium,0.48,0.2,4
T204,54,8,8,78024.5,20,Medium,0.8,0.47,3
T205,87,5,4,76324.28,22,Medium,0.91,0.58,2
T206,1,11,9,19584.52,28,High,0.81,0.12,2
T207,19,2,5,9750.11,13,Medium,0.47,0.32,2
T208,2,15,3,70195.93,25,Low,0.8,0.13,3
T209,53,6,9,37466.37,18,Medium,0.32,0.44,2
T210,44,8,9,43802.28,4,Low,0.3,0.82,3
T211,32,5,4,4083.76,22,Low,0.48,0.89,2
T212,70,16,4,26698.07,24,Low,0.85,0.61,0
T213,32,18,8,4333.96,17,Low,0.4,0.23,0
T214,68,6,2,88039.39,19,Medium,0.25,0.82,1
T215,55,5,9,25096.27,11,Low,0.31,0.51,2
T216,75,16,6,56176.38,22,Medium,0.89,0.22,2
T217,56,13,9,4858.95,16,Medium,0.71,0.84,3
T218,17,5,8,67017.89,12,Low,0.4,0.71,3
T219,38,13,7,32979.71,1,High,0.64,0.69,2
T220,24,17,1,89894.0,24,Low,0.62,0.67,1
T221,69,18,3,88923.7,12,Low,0.72,0.26,2
T222,70,8,2,33203.77,25,Medium,0.39,0.27,3
T223,86,13,5,90195.13,6,Low,0.89,0.65,2
T224,11,19,5,99619.61,27,Low,0.45,0.28,3
T225,16,3,5,82716.15,9,Medium,0.76,0.45,2
T226,73,8,4,84642.26,22,Medium,0.21,0.73,4
T227,59,2,5,25651.86,5,Low,0.5,0.73,3
T228,70,8,3,58093.54,2,High,0.48,0.46,1
T229,80,13,1,7658.34,25,Medium,0.63,0.73,4
T230,3,13,5,10396.88,2,High,0.26,0.77,2
T231,20,1,9,99890.37,17,Low,0.83,0.62,3
T232,59,6,9,33337.29,10,Medium,0.37,0.28,4
T233,36,19,4,75070.21,21,High,0.74,0.32,1
T234,19,16,3,80859.84,19,Medium,0.84,0.35,3
T235,67,8,1,85944.3,4,Medium,0.65,0.19,4
T236,19,1,2,99765.2,18,Low,0.79,0.32,4
T237,20,16,8,24908.15,21,Low,0.73,0.27,4
T238,71,9,1,4994.73,26,Low,0.48,0.46,0
T239,52,13,8,41707.96,27,Low,0.85,0.83,2
T240,33,11,7,13877.99,18,High,0.44,0.18,3
T241,40,13,8,3220.16,29,Low,0.66,0.68,3
T242,39,10,6,36682.26,14,High,0.8,0.65,3
T243,82,4,9,78590.09,29,High,0.5,0.18,4
T244,1,6,3,57051.89,15,Low,0.44,0.84,2
T245,11,7,4,31965.02,23,Low,0.57,0.55,1
T246,57,5,6,65779.86,8,High,0.85,0.39,3
T247,89,11,8,23969.8,3,High,0.94,0.71,2
T248,50,13,5,2423.76,14,Low,0.64,0.31,2
T249,23,19,3,76670.99,24,Low,0.73,0.65,0
T250,31,10,6,62750.57,11,Medium,0.92,0.13,3
T251,42,10,4,76467.96,22,Medium,0.28,0.77,4
T252,7,11,9,4854.86,2,Low,0.39,0.46,2
T253,16,7,3,83874.84,22,Medium,0.77,0.61,2
T254,60,18,4,62333.09,13,Low,0.86,0.28,1
T255,2,4,7,56776.14,16,Low,0.89,0.64,0
T256,1,2,7,62836.79,18,Low,0.53,0.72,2
T257,48,14,4,86578.89,5,Low,0.27,0.48,2
T258,12,13,6,59106.71,3,Low,0.55,0.59,4
T259,69,12,3,58514.09,6,Low,0.38,0.47,4
T260,37,7,6,99077.24,29,Low,0.43,0.82,1
T261,32,2,2,75916.29,18,Low,0.82,0.5,1
T262,9,13,8,44787.09,16,Low,0.26,0.77,1
T263,19,14,2,71032.3,24,High,0.86,0.74,4
T264,48,17,7,39533.82,15,Low,0.54,0.43,4
T265,80,9,9,23658.67,14,Low,0.68,0.28,0
T266,3,17,1,60088.34,21,Medium,0.27,0.42,3
T267,20,8,8,92890.03,7,High,0.47,0.76,3
T268,24,2,7,92984.81,18,Low,0.27,0.28,0
T269,54,13,6,34848.62,7,Medium,0.97,0.52,3
T270,33,3,6,53240.07,17,Medium,0.85,0.74,4
T271,24,16,6,21951.95,27,Medium,0.57,0.38,3
T272,75,6,9,99567.48,15,Low,0.38,0.61,4
T273,72,19,2,98130.67,19,Medium,0.95,0.3,0
T274,36,7,1,65301.38,18,Low,0.48,0.19,1
T275,38,10,6,80636.99,9,Medium,0.33,0.74,0
T276,84,9,8,71794.92,16,Medium,0.65,0.18,3
T277,89,2,3,59722.66,12,Low,0.96,0.32,4
T278,25,15,1,6281.45,12,High,0.2,0.78,3
T279,18,5,9,46021.67,6,Low,0.39,0.38,3
T280,82,4,1,67803.84,26,High,0.95,0.88,1
T281,66,4,3,68075.63,9,Low,0.34,0.88,3
T282,54,18,8,37939.14,1,Low,0.29,0.31,1
T283,35,4,3,94227.51,3,Low,0.66,0.13,4
T284,80,17,4,17568.35,24,High,0.89,0.66,4
T285,61,12,8,50535.59,5,Low,0.58,0.46,1
T286,41,17,1,69397.51,23,Low,1.0,0.18,0
T287,33,10,6,70016.44,17,Low,0.74,0.67,4
T288,68,1,1,65215.26,22,Medium,0.26,0.12,0
T289,33,18,1,28253.53,5,Medium,0.99,0.8,4
T290,14,18,8,16464.45,28,Low,0.53,0.21,4
T291,21,14,4,63958.09,29,Low,0.43,0.2,2
T292,48,15,1,60330.91,24,Low,0.65,0.24,3
T293,20,12,7,18756.25,22,Low,0.44,0.87,3
T294,8,4,5,70808.78,16,Low,0.27,0.65,0
T295,7,3,5,46062.03,13,Medium,0.2,0.74,3
T296,67,12,1,67108.3,23,Low,0.56,0.42,0
T297,17,7,6,83899.34,10,Low,0.87,0.37,4
T298,33,11,9,17803.11,25,Low,0.66,0.29,2
T299,48,1,9,2895.34,18,High,1.0,0.48,2
T300,76,6,8,78131.16,29,High,0.43,0.54,4
T301,59,15,5,61360.05,1,High,0.42,0.61,1
T302,86,15,1,70264.32,27,Low,0.33,0.31,1
T303,22,19,9,83977.34,2,Low,0.33,0.86,3
T304,30,11,1,80478.28,10,Low,0.43,0.24,0
T305,38,2,8,96131.09,5,Low,0.83,0.87,2
T306,51,14,5,54057.57,28,Medium,0.92,0.11,3
T307,54,2,3,49361.07,13,Medium,0.98,0.48,4
T308,8,4,7,40786.83,18,High,0.39,0.37,2
T309,27,17,7,16215.41,25,High,0.91,0.46,0
T310,27,3,9,57688.12,15,Low,0.46,0.56,0
T311,21,13,7,28424.24,20,Medium,0.29,0.45,1
T312,30,9,3,92209.44,21,Low,0.9,0.43,3
T313,28,7,1,58735.89,23,Low,0.71,0.69,4
T314,64,15,8,59691.18,6,Medium,0.33,0.65,2
T315,69,11,3,36137.54,29,Low,0.54,0.77,0
T316,61,2,8,6146.95,26,Low,0.43,0.3,2
T317,48,15,8,4142.63,7,Low,0.79,0.59,4
T318,19,14,5,42910.18,18,Medium,0.56,0.57,2
T319,4,11,1,9371.97,19,Medium,0.99,0.4,3
T320,35,3,7,61077.85,15,Low,0.24,0.49,1
T321,64,17,5,88216.33,21,High,0.48,0.35,2
T322,49,12,8,88408.57,26,Low,0.59,0.21,1
T323,17,15,9,66245.5,6,Low,0.6,0.27,4
T324,44,16,7,21911.95,8,Medium,0.45,0.18,1
T325,30,5,7,86436.69,12,Medium,0.78,0.65,2
T326,46,6,1,88723.25,0,High,0.9,0.63,2
T327,6,19,4,20468.7,28,Low,0.95,0.86,0
T328,37,5,2,74005.18,7,Medium,0.84,0.68,2
T329,24,3,2,29365.44,23,Medium,0.88,0.14,1
T330,46,1,2,80461.39,21,High,0.64,0.81,0
T331,53,6,4,99726.55,3,Low,0.86,0.79,2
T332,60,15,1,3972.57,2,Medium,0.44,0.45,2
T333,63,2,4,89839.22,26,Medium,0.52,0.57,4
T334,85,3,2,62640.42,2,Low,0.45,0.88,0
T335,32,17,5,97364.88,21,Low,0.57,0.53,4
T336,87,12,3,47035.94,12,Low,0.43,0.82,4
T337,33,18,8,84891.41,7,Medium,0.97,0.17,4
T338,67,15,4,7177.01,6,High,0.45,0.25,3
T339,18,12,1,34192.63,26,Medium,0.28,0.45,4
T340,25,16,1,7634.64,0,Medium,0.62,0.57,1
T341,54,8,3,97558.97,26,Medium,0.25,0.75,2
T342,58,14,9,81880.42,15,Low,0.29,0.89,3
T343,67,17,7,85402.19,5,Low,0.38,0.41,4
T344,46,8,2,93858.56,6,Low,0.57,0.14,2
T345,24,15,9,9425.25,11,Low,0.55,0.74,0
T346,32,14,2,39174.16,22,Low,0.84,0.58,0
T347,47,18,3,8032.45,8,Medium,0.79,0.26,2
T348,86,7,2,21868.52,26,Low,0.54,0.5,1
T349,23,3,3,23707.21,10,Low,0.47,0.69,2
T350,66,12,6,47441.61,9,Low,0.45,0.72,2
T351,27,3,9,27587.65,20,Low,0.82,0.5,3
T352,2,14,9,10996.83,0,High,0.24,0.34,0
T353,17,15,7,17581.62,17,High,0.21,0.88,0
T354,33,14,3,15580.28,3,Medium,0.84,0.63,4
T355,9,7,4,97334.6,4,Low,0.58,0.43,2
T356,43,17,6,76169.96,8,Medium,0.3,0.32,2
T357,48,12,5,96808.39,26,High,0.39,0.68,1
T358,39,4,2,44534.31,16,Medium,0.95,0.29,0
T359,42,9,6,28558.48,2,Low,0.89,0.24,1
T360,26,6,3,80031.03,15,Medium,0.77,0.52,3
T361,50,16,8,33299.14,4,High,0.59,0.33,4
T362,25,2,2,30638.95,15,Medium,0.62,0.6,1
T363,24,8,1,24018.09,2,Medium,0.98,0.19,0
T364,13,11,9,13838.22,19,Low,0.97,0.62,3
T365,60,13,3,26389.84,14,Medium,0.37,0.33,2
T366,7,17,1,36176.66,29,Low,0.85,0.1,3
T367,57,8,7,67725.43,2,Medium,0.36,0.2,1
T368,36,18,5,7193.92,19,Low,0.37,0.85,0
T369,45,18,5,21840.19,13,Low,0.74,0.79,1
T370,20,14,1,81093.34,15,Low,0.52,0.29,2
T371,65,15,9,15545.27,28,Medium,0.95,0.72,2
T372,8,6,7,34921.87,28,Low,0.27,0.59,0
T373,16,11,8,86601.23,16,Medium,0.61,0.88,4
T374,14,13,9,16337.61,27,Medium,0.93,0.4,3
T375,76,1,6,9190.95,23,Low,0.92,0.65,3
T376,87,6,5,48969.26,19,Low,0.33,0.15,2
T377,15,9,6,30939.53,22,Low,0.49,0.42,1
T378,66,8,2,56777.43,17,High,0.7,0.87,1
T379,32,11,4,80576.68,17,Medium,0.33,0.53,4
T380,87,19,3,14577.7,21,Low,0.97,0.33,1
T381,63,9,7,58489.21,13,Low,0.93,0.2,3
T382,86,17,9,51045.37,17,Medium,0.33,0.66,1
T383,51,12,5,15263.8,14,High,0.3,0.62,4
T384,25,14,6,62775.85,14,High,0.27,0.4,3
T385,58,15,2,28090.4,5,Medium,0.93,0.86,1
T386,63,16,3,49295.6,26,Low,0.35,0.12,3
T387,62,1,3,9144.96,14,Low,0.53,0.34,2
T388,22,10,9,46498.82,17,Low,0.56,0.84,2
T389,58,8,7,31339.88,3,Low,0.68,0.36,2
T390,58,18,8,82415.74,22,Low,0.26,0.3,1
T391,86,1,9,6640.89,7,Low,0.38,0.53,4
T392,49,2,6,42442.12,14,Low,0.95,0.76,3
T393,52,1,4,46384.71,2,High,0.93,0.18,0
T394,42,1,1,72775.6,29,Medium,0.83,0.85,2
T395,70,9,8,57854.47,14,High,0.22,0.74,2
T396,15,13,7,67054.02,12,Medium,0.46,0.25,0
T397,54,1,2,77927.88,8,Low,0.7,0.67,0
T398,60,13,8,86358.09,1,Medium,0.42,0.41,1
T399,8,7,5,32073.67,23,Low,0.93,0.42,3
T400,53,2,7,54264.25,7,Medium,0.71,0.73,2
T401,60,6,4,84170.7,28,Low,0.26,0.87,4
T402,5,7,5,98955.66,29,High,0.93,0.2,1
T403,68,14,8,89062.41,19,Low,0.97,0.44,1
T404,6,18,1,37775.26,16,Low,0.26,0.48,4
T405,47,15,1,20321.49,12,High,0.63,0.4,4
T406,55,2,4,49449.86,0,Low,0.44,0.39,4
T407,40,10,3,74422.5,1,Medium,0.51,0.14,0
T408,52,12,2,49764.34,29,Medium,0.34,0.65,2
T409,16,17,3,48834.91,14,High,0.66,0.45,0
T410,13,8,1,83984.81,11,High,0.97,0.26,2
T411,30,11,1,36778.97,13,High,0.6,0.75,0
T412,19,3,6,86119.67,24,Low,0.27,0.74,3
T413,17,6,5,41273.68,28,High,0.7,0.49,2
T414,63,9,8,33495.08,1,Medium,0.47,0.34,1
T415,19,6,2,45945.0,17,Medium,0.88,0.61,2
T416,58,9,4,76482.25,21,Low,0.55,0.33,2
T417,55,7,8,13474.2,6,Medium,0.35,0.29,2
T418,62,9,6,20445.5,28,High,0.35,0.68,3
T419,23,18,1,95193.04,22,High,0.82,0.13,0
T420,9,12,4,18373.67,28,Low,0.41,0.18,1
T421,12,8,1,57205.0,24,Low,0.81,0.11,0
T422,1,8,2,58352.13,5,Low,0.36,0.22,0
T423,58,18,5,49472.82,13,High,0.46,0.16,4
T424,1,15,8,64829.78,7,Medium,0.57,0.9,3
T425,34,7,8,23752.85,26,Low,0.95,0.33,4
T426,48,11,3,55713.56,21,Low,0.95,0.22,3
T427,89,16,4,37845.15,1,Low,0.37,0.29,0
T428,1,4,6,66505.06,16,Low,0.49,0.85,0
T429,16,6,3,14981.13,4,High,0.32,0.52,3
T430,61,3,2,57516.86,13,Medium,0.61,0.39,0
T431,64,9,6,19341.77,24,Low,0.57,0.8,0
T432,63,10,5,28585.66,23,Medium,0.92,0.42,1
T433,69,14,5,22652.27,29,Low,0.94,0.37,4
T434,22,11,5,19100.94,28,High,0.51,0.27,4
T435,67,18,5,82745.38,19,Low,0.59,0.4,4
T436,76,12,3,29285.05,20,Low,0.92,0.35,2
T437,26,12,7,92785.25,28,Low,0.85,0.64,1
T438,16,13,6,97022.73,20,Medium,0.2,0.33,4
T439,51,13,4,57554.79,21,Medium,0.46,0.56,4
T440,86,19,2,15157.11,2,Medium,0.54,0.15,1
T441,57,19,9,38080.28,4,Low,0.38,0.25,0
T442,29,14,1,79975.49,15,Low,0.36,0.43,4
T443,78,4,4,37371.68,17,Low,0.23,0.85,0
T444,69,13,1,9614.7,25,Medium,0.71,0.4,4
T445,47,8,6,56121.71,16,Low,0.41,0.63,3
T446,62,19,4,84666.96,10,Medium,0.24,0.3,2
T447,69,12,5,79796.71,16,High,0.38,0.2,4
T448,76,18,5,18337.19,15,High,0.84,0.15,3
T449,16,6,9,67603.7,25,Low,0.88,0.34,1
T450,48,18,1,22829.92,22,Low,0.59,0.23,3
T451,85,19,2,22602.55,1,Low,0.53,0.24,1
T452,39,5,6,87533.11,3,Medium,0.98,0.71,4
T453,33,9,5,25717.23,20,High,0.36,0.11,1
T454,23,3,7,27061.49,6,Low,0.37,0.55,3
T455,10,10,3,1064.69,1,Low,0.43,0.4,2
T456,69,19,3,87196.23,29,High,0.34,0.51,0
T457,34,3,2,79466.89,5,High,0.5,0.55,0
T458,52,15,3,63105.56,16,Low,0.93,0.35,2
T459,10,1,1,75276.31,6,Medium,0.69,0.34,0
T460,19,7,5,16052.81,24,Low,0.53,0.69,4
T461,58,12,5,46374.04,4,Low,0.95,0.8,4
T462,1,17,7,35770.72,4,High,0.24,0.25,3
T463,69,5,4,10283.88,19,High,0.37,0.18,3
T464,4,4,3,49126.92,15,Medium,0.65,0.82,1
T465,16,12,1,92153.23,18,Low,0.69,0.38,3
T466,24,18,8,4965.85,8,High,0.23,0.54,4
T467,80,17,3,29854.63,4,Low,0.52,0.39,3
T468,2,19,2,21546.55,7,Low,0.72,0.2,0
T469,32,9,4,24576.52,8,Medium,0.76,0.57,1
T470,84,4,3,90935.02,4,Low,0.71,0.52,1
T471,24,2,1,47338.84,9,Medium,0.46,0.26,4
T472,12,4,3,47163.64,24,Medium,0.27,0.46,3
T473,50,2,2,76296.99,1,Low,0.54,0.74,0
T474,35,15,8,16294.73,8,Low,0.3,0.57,3
T475,33,2,6,49239.27,10,Low,0.96,0.18,2
